Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Platform2,Social_Media_Platform3,Social_Media_Platform4,Social_Media_Platform5,Social_Media_Activities1,Social_Media_Activities2,Social_Media_Activities3,Social_Media_Activities4,Social_Media_Activities5,Social_Media_Activities6,Social_Media_Activities7,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Type2,Previous_Criminal_Activity_Type3,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing
5530,Ohio,-99,,,7/20/48,-88,,,-88,-88,-88,-88,-88,0,0,4,2,4,6,1,-88,,,1,2,,,0,-99,3,56,-99,-99,-99,-88,0,-88,-88,-88,,,,,-88,,,,,,,0,0,1,0,9,,,Ohio,-99,,,1,1,3,8,5,1,1,0,,,,2,1,1,0,-88,3,41,2,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,492,2,Finland,0,-99,1,0,-88,1,-99,4,6,0,1,2,-99,0,0,-88,,,0,0,0,-99,-99,-99,3,2,-99,-99,-99,1,-99,-99,-99,-99,-99,,,-99,1,-99,,,3,0,-88,-99,0,1,1,-99
4857,New York,-99,,,1/1/49,-88,,,-88,-88,-88,-88,-88,0,0,4,2,4,6,2,-88,,,-99,-99,,,-99,-99,3,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,1,0,9,,,New York,New York,,,-99,0,3,5,5,-99,-99,-99,,,,1,1,3,-99,1,3,43,-99,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,-99,2,Russia,1,-99,-99,0,-88,-99,-99,-99,0,0,1,1,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,3,0,1,-99,-99
5803,Alabama,Birmingham,,,1/1/49,-88,,,-88,-88,-88,-88,-88,0,0,1,-88,-88,-99,3,Ku Klux Klan,,,0,-88,,,1,0,3,300,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Georgia,-99,,,1,0,3,5,5,-99,0,-99,,,,1,1,1,-99,-88,3,44,2,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,528,0,-88,-88,-88,2,0,-88,2,-99,4,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,0,-99,,,-99,0,-88,,,-88,0,-88,-99,0,-99,2,-99
4796,District of Columbia,Washington,,,11/1/50,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,6,2,-88,,,0,-88,,,-99,-99,3,312,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,Puerto Rico,-99,,,-99,0,3,10,5,1,-99,-99,,,,1,1,1,-99,-88,1,59,2,4,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,708,0,-88,-88,-88,11,0,-88,-99,-99,-99,2,0,-99,3,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,0,-88,,,-88,0,-88,-99,0,1,2,-99
4840,District of Columbia,Washington,,,11/1/50,14,,,1,-99,0,1,-88,4,1,10,2,4,6,2,-88,,,-99,-99,,,-99,-99,2,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,New York,New York,,,-99,-99,-99,10,5,1,-99,8,,,,-99,-99,-99,-99,-88,1,36,-99,2,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,-99,-99,-88,-88,-99,-99,0,-88,1,-99,4,0,0,-99,2,-99,0,0,-88,,,0,0,2,-99,-99,-99,3,2,-99,-99,-99,2,3,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,-99,-99
4841,District of Columbia,Washington,,,11/1/50,2,,,1,2,0,1,-88,4,1,7,-88,-88,8,2,-88,,,-99,-99,,,-99,-99,2,-99,1,-99,0,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,New York,New York,,,0,-99,-99,10,5,1,0,8,,,,-99,2,1,-99,-88,1,25,2,2,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,27,0,-88,-88,1,-99,-99,-99,3,-88,4,0,0,-99,1,-99,0,0,-88,,,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,1,-99,-99,5,,,-99,-99,-99,,,-99,0,-88,-99,0,1,3,-99
3885,Iowa,Davenport,,,2/21/54,-88,,,-88,-88,-88,-88,-88,0,0,0,-99,2,1,3,National Alliance,National States' Rights Party,Ku Klux Klan,-99,-99,,,-99,-99,2,96,1,1,0,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Georgia,Marietta,,,1,0,3,6,5,1,0,-99,,,,1,1,1,-99,-88,3,22,-99,-99,-99,2,8,0,-88,-99,-99,United States of America,1,United States of America,244,0,-88,-88,-88,6,1,0,5,-99,4,0,0,3,3,1,0,0,-88,,,0,0,0,-99,-99,1,-99,-99,1,2,3,-99,-99,-99,-99,0,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,1,-99
4842,District of Columbia,Washington,,,3/1/54,2,,,2,-99,0,2,-88,5,1,10,2,4,6,2,-88,,,0,-88,,,1,-99,2,84,-99,-99,-99,-88,0,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,New York,-99,,,1,0,3,10,5,1,0,8,,,,2,2,3,0,-88,1,35,3,2,-99,1,-99,0,-88,3,1/1/54,United States of America,1,United States of America,156,0,-88,-99,-99,-99,-99,-99,1,-99,4,-99,0,1,1,1,0,0,-88,,,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,3,3
4843,District of Columbia,Washington,,,3/1/54,2,,,2,2,0,3,-88,5,1,10,2,1,4,2,-88,,,-99,-99,,,0,-99,2,120,-99,-99,-99,-88,0,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,Puerto Rico,-99,,,-99,-99,3,10,5,1,0,8,,,,2,1,3,0,0,1,24,2,0,-88,2,-99,0,-88,0,-88,United States of America,1,United States of America,-99,0,-88,-88,-88,3,0,-88,-99,-99,-99,0,0,-99,2,-99,0,0,-88,,,0,0,0,-99,-99,-99,3,2,1,-99,-99,2,-99,-99,0,-99,5,,,-99,2,20,,,2,0,-88,3,0,1,3,-99
4844,District of Columbia,Washington,,,3/1/54,2,,,-99,-99,-99,1,-88,5,1,10,2,2,6,2,-88,,,-99,-99,,,-99,-99,2,-99,-99,-99,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,0,0,0,1,12,,,Puerto Rico,Aguadilla,,,0,1,-99,10,5,-99,-99,-99,,,,-99,-99,1,-99,-99,1,29,-99,-99,-99,2,-99,0,-88,-99,-99,United States of America,1,United States of America,348,0,-88,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,1,2,3,-99,-99,-99,-99,0,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,1,-99
